spelling,count,suggested_correction,correction_count,edit_distance,looks_polish,locations
Lukas,1,duas,3,2,False,0066.JPG.parsed.txt:16
Datum,1,data,3,2,False,0066.JPG.parsed.txt:17
Famosum,1,famulum,3,2,False,0066.JPG.parsed.txt:24
obie,1,sobie,3,1,False,0066.JPG.parsed.txt:35
erectionem,1,evictione,3,3,False,0066.JPG.parsed.txt:37
duorum,1,suorum,3,1,False,0066.JPG.parsed.txt:37
citata,1,citatus,3,2,False,0067.JPG.parsed.txt:6
memoria,1,memorata,3,2,False,0067.JPG.parsed.txt:11
Idictam,1,dicta,3,2,False,0067.JPG.parsed.txt:11
Lami,1,nami,3,1,False,0067.JPG.parsed.txt:12
Lukaszewic,1,Lukaszewicz,3,1,True,0067.JPG.parsed.txt:23
Colle,1,Collega,3,2,False,0067.JPG.parsed.txt:25
mille,2,illa,3,2,False,0067.JPG.parsed.txt:30; 0068.JPG.parsed.txt:1
Leopoliensiem,1,Leopoliensem,3,1,False,0067.JPG.parsed.txt:32
robore,1,roboris,3,2,False,0068.JPG.parsed.txt:2
ratas,1,rata,3,1,False,0068.JPG.parsed.txt:3
termi,1,veri,3,2,False,0068.JPG.parsed.txt:10
termino,1,tertio,3,2,False,0068.JPG.parsed.txt:18
PRIMA,1,xima,3,2,False,0069.JPG.parsed.txt:3
iedno,2,ideo,3,2,False,0069.JPG.parsed.txt:5; 0069.JPG.parsed.txt:23
wolne,2,omne,3,2,False,0069.JPG.parsed.txt:7; 0069.JPG.parsed.txt:21
cwierci,1,smierci,3,2,False,0069.JPG.parsed.txt:8
pieca,1,Circa,3,2,False,0069.JPG.parsed.txt:8
Pulkomnaty,2,komnaty,3,3,False,0069.JPG.parsed.txt:8; 0069.JPG.parsed.txt:10
izbą,2,izby,3,1,True,0069.JPG.parsed.txt:9; 0069.JPG.parsed.txt:18
ganek,2,Panem,3,2,False,0069.JPG.parsed.txt:10; 0069.JPG.parsed.txt:22
browarem,1,browar,3,2,False,0069.JPG.parsed.txt:14
oknem,1,omne,3,2,False,0069.JPG.parsed.txt:19
izdeb,1,ideo,3,2,False,0069.JPG.parsed.txt:22
szyie,1,sobie,3,2,True,0069.JPG.parsed.txt:23
sadzie,2,będzie,3,2,True,0069.JPG.parsed.txt:23; 0069.JPG.parsed.txt:34
browaru,1,browar,3,1,False,0069.JPG.parsed.txt:24
okny,1,omne,3,2,False,0069.JPG.parsed.txt:24
idzie,2,będzie,3,2,True,0069.JPG.parsed.txt:25; 0069.JPG.parsed.txt:31
murze,1,more,3,2,True,0069.JPG.parsed.txt:26
czesci,1,części,3,2,True,0069.JPG.parsed.txt:27
strych,2,Strach,3,1,False,0069.JPG.parsed.txt:31; 0069.JPG.parsed.txt:32
wsobie,1,sobie,3,1,False,0069.JPG.parsed.txt:35
piwa,1,xima,3,2,False,0069.JPG.parsed.txt:38
