spelling,count,suggested_correction,correction_count,edit_distance,looks_polish,locations
scit,1,erit,4,2,False,0066.JPG.parsed.txt:28
Bern,1,Bernt,4,1,False,0066.JPG.parsed.txt:28
tenże,1,TENOR,4,2,True,0066.JPG.parsed.txt:34
Judicam,1,Judicio,4,2,False,0067.JPG.parsed.txt:14
Principalium,1,principali,4,2,False,0068.JPG.parsed.txt:11
Plenipotente,1,Plenipotens,4,2,False,0068.JPG.parsed.txt:12
ditionem,1,dilationem,4,2,False,0068.JPG.parsed.txt:22
fideli,1,fidelis,4,1,False,0068.JPG.parsed.txt:31
stantiam,1,instantiam,4,2,False,0068.JPG.parsed.txt:33
altera,1,Alteram,4,1,False,0068.JPG.parsed.txt:35
smarku,1,smak,4,2,False,0069.JPG.parsed.txt:6
ktorey,2,ktory,4,1,False,0069.JPG.parsed.txt:10; 0069.JPG.parsed.txt:21
tala,1,tali,4,1,False,0069.JPG.parsed.txt:15
miescem,1,miesce,4,1,False,0069.JPG.parsed.txt:16
miece,1,miesce,4,1,False,0069.JPG.parsed.txt:18
miesca,1,miesce,4,1,False,0069.JPG.parsed.txt:23
wrot,1,erit,4,2,False,0069.JPG.parsed.txt:34
tyle,1,tali,4,2,False,0069.JPG.parsed.txt:38
SENIORIBUS,1,temporibus,3,3,False,0003.JPG.parsed.txt:8
Andrea,2,Andreas,3,1,False,0003.JPG.parsed.txt:11; 0003.JPG.parsed.txt:15
Gulinsski,1,Gulinski,3,1,False,0003.JPG.parsed.txt:13
Scabinus,1,Scabinum,3,1,False,0005.JPG.parsed.txt:8
Matias,1,alias,3,2,False,0005.JPG.parsed.txt:11
illo,1,illa,3,1,False,0005.JPG.parsed.txt:12
fidelem,1,fidem,3,2,False,0005.JPG.parsed.txt:13
ultimamque,1,ultimam,3,3,False,0005.JPG.parsed.txt:21
laski,1,Lanii,3,2,False,0005.JPG.parsed.txt:27
dobrze,2,gorze,3,2,True,0005.JPG.parsed.txt:28; 0006.JPG.parsed.txt:1
smierc,1,smierci,3,1,False,0005.JPG.parsed.txt:30
moie,1,more,3,1,False,0005.JPG.parsed.txt:30
wiela,1,illa,3,2,False,0005.JPG.parsed.txt:32
testamentem,2,Testamentum,3,1,False,0005.JPG.parsed.txt:33; 0064.JPG.parsed.txt:7
ktore,2,ktora,3,1,False,0005.JPG.parsed.txt:34; 0006.JPG.parsed.txt:2
czasy,2,czas,3,1,True,0006.JPG.parsed.txt:2; 0065.JPG.parsed.txt:33
kędy,1,tedy,3,2,True,0006.JPG.parsed.txt:3
tędy,2,tedy,3,1,True,0006.JPG.parsed.txt:3; 0006.JPG.parsed.txt:8
mnie,2,more,3,2,False,0006.JPG.parsed.txt:5; 0064.JPG.parsed.txt:4
Panow,1,Panem,3,2,False,0006.JPG.parsed.txt:10
tego,2,iego,3,1,False,0006.JPG.parsed.txt:10; 0066.JPG.parsed.txt:7
kogo,1,toto,3,2,False,0006.JPG.parsed.txt:11
zami,1,nami,3,1,False,0006.JPG.parsed.txt:11
sentio,1,sexto,3,2,False,0006.JPG.parsed.txt:17
certis,2,certi,3,1,False,0006.JPG.parsed.txt:21; 0060.JPG.parsed.txt:4
munus,1,huius,3,2,False,0006.JPG.parsed.txt:24
praemissi,1,praemisso,3,1,False,0006.JPG.parsed.txt:25
relationi,2,relationem,3,2,False,0006.JPG.parsed.txt:28; 0068.JPG.parsed.txt:31
ultimae,2,ultimam,3,1,False,0006.JPG.parsed.txt:28; 0059.JPG.parsed.txt:18
Chri,1,veri,3,2,False,0006.JPG.parsed.txt:29
Famulus,2,famulum,3,1,False,0006.JPG.parsed.txt:35; 0007.JPG.parsed.txt:7
Andreae,2,Andreas,3,1,False,0006.JPG.parsed.txt:38; 0055.JPG.parsed.txt:1
heri,2,veri,3,1,False,0007.JPG.parsed.txt:1; 0066.JPG.parsed.txt:25
citatum,2,citatus,3,1,False,0007.JPG.parsed.txt:2; 0054.JPG.parsed.txt:2
certae,2,certa,3,1,False,0007.JPG.parsed.txt:3; 0056.JPG.parsed.txt:7
decem,2,debet,3,2,False,0007.JPG.parsed.txt:6; 0051.JPG.parsed.txt:1
Memoratus,1,memorata,3,2,False,0007.JPG.parsed.txt:9
decre,1,debere,3,2,False,0007.JPG.parsed.txt:15
vltimae,1,ultimam,3,2,False,0007.JPG.parsed.txt:28
Famoto,1,facto,3,2,False,0049.JPG.parsed.txt:2
Joanni,1,Joanne,3,1,False,0049.JPG.parsed.txt:2
parata,2,rata,3,2,False,0049.JPG.parsed.txt:5; 0056.JPG.parsed.txt:11
aliis,2,alias,3,1,False,0049.JPG.parsed.txt:5; 0062.JPG.parsed.txt:35
ratis,2,rata,3,2,False,0049.JPG.parsed.txt:6; 0056.JPG.parsed.txt:12
Beati,1,certi,3,2,False,0049.JPG.parsed.txt:7
adiecta,2,dicta,3,2,False,0049.JPG.parsed.txt:12; 0056.JPG.parsed.txt:18
ratam,2,rata,3,1,False,0049.JPG.parsed.txt:12; 0056.JPG.parsed.txt:13
stato,1,toto,3,2,False,0049.JPG.parsed.txt:13
morae,1,more,3,1,False,0049.JPG.parsed.txt:13
tromissione,1,intromissionem,3,3,False,0049.JPG.parsed.txt:20
citato,2,citatus,3,2,False,0049.JPG.parsed.txt:22; 0054.JPG.parsed.txt:9
praesentem,1,praesenti,3,2,False,0049.JPG.parsed.txt:26
ullis,2,illius,3,2,False,0049.JPG.parsed.txt:27; 0056.JPG.parsed.txt:12
facti,1,facto,3,1,False,0049.JPG.parsed.txt:28
expresse,1,expressum,3,2,False,0049.JPG.parsed.txt:30
ultimo,1,ultimam,3,2,False,0049.JPG.parsed.txt:30
Sacrae,2,Sanctae,3,2,False,0049.JPG.parsed.txt:31; 0064.JPG.parsed.txt:19
solutionem,2,relationem,3,3,False,0049.JPG.parsed.txt:32; 0053.JPG.parsed.txt:13
status,1,citatus,3,2,False,0049.JPG.parsed.txt:36
promittendo,1,Promittens,3,2,False,0050.JPG.parsed.txt:4
damni,1,nami,3,2,False,0050.JPG.parsed.txt:4
sorte,2,more,3,2,False,0050.JPG.parsed.txt:6; 0056.JPG.parsed.txt:21
ultimas,1,ultimam,3,1,False,0050.JPG.parsed.txt:21
Flore,1,more,3,2,False,0050.JPG.parsed.txt:21
norum,2,eorum,3,1,False,0050.JPG.parsed.txt:22; 0063.JPG.parsed.txt:26
legitimis,1,legittimis,3,1,False,0050.JPG.parsed.txt:27
sorti,1,certi,3,2,False,0050.JPG.parsed.txt:30
Zozulinski,1,Gulinski,3,3,False,0050.JPG.parsed.txt:31
monte,1,more,3,2,False,0050.JPG.parsed.txt:31
essent,1,esset,3,1,False,0051.JPG.parsed.txt:1
locare,1,Lucae,3,2,False,0051.JPG.parsed.txt:2
creditorum,1,Creditor,3,2,False,0051.JPG.parsed.txt:6
tueri,1,veri,3,2,False,0051.JPG.parsed.txt:7
ratus,1,rata,3,2,False,0051.JPG.parsed.txt:8
Bres,1,Abrek,3,2,False,0051.JPG.parsed.txt:9
Christophori,1,Christophorum,3,2,False,0051.JPG.parsed.txt:17
Petri,1,veri,3,2,False,0051.JPG.parsed.txt:18
Christophoro,2,Christophorum,3,2,False,0051.JPG.parsed.txt:22; 0051.JPG.parsed.txt:23
fato,1,facto,3,1,False,0051.JPG.parsed.txt:25
Honestum,2,Honestam,3,1,False,0051.JPG.parsed.txt:28; 0066.JPG.parsed.txt:30
Fracko,1,facto,3,2,False,0051.JPG.parsed.txt:31
Ordinarius,2,Ordinarii,3,2,False,0051.JPG.parsed.txt:35; 0068.JPG.parsed.txt:29
Scabini,2,Scabinum,3,2,False,0051.JPG.parsed.txt:36; 0068.JPG.parsed.txt:30
relationis,2,relationem,3,2,False,0051.JPG.parsed.txt:37; 0059.JPG.parsed.txt:6
Lucam,1,Lucae,3,1,False,0052.JPG.parsed.txt:8
Felici,2,Felicis,3,1,False,0052.JPG.parsed.txt:9; 0052.JPG.parsed.txt:12
factae,1,facta,3,1,False,0052.JPG.parsed.txt:11
Collegae,2,Collega,3,1,False,0052.JPG.parsed.txt:17; 0067.JPG.parsed.txt:3
concessione,2,possessione,3,3,False,0052.JPG.parsed.txt:18; 0063.JPG.parsed.txt:9
adesset,1,esset,3,2,False,0052.JPG.parsed.txt:19
Annam,2,Anna,3,1,False,0052.JPG.parsed.txt:30; 0067.JPG.parsed.txt:12
dicto,2,dicti,3,1,False,0052.JPG.parsed.txt:32; 0067.JPG.parsed.txt:33
fratre,1,ratae,3,2,False,0052.JPG.parsed.txt:32
Joan,1,Joanne,3,2,False,0052.JPG.parsed.txt:34
relatione,2,relationem,3,1,False,0052.JPG.parsed.txt:35; 0061.JPG.parsed.txt:2
citatos,2,citatus,3,1,False,0053.JPG.parsed.txt:1; 0066.JPG.parsed.txt:26
debuit,1,debet,3,2,False,0053.JPG.parsed.txt:5
Luca,1,Lucae,3,1,False,0053.JPG.parsed.txt:6
centos,1,certo,3,2,False,0053.JPG.parsed.txt:7
duabus,2,duas,3,2,False,0053.JPG.parsed.txt:7; 0056.JPG.parsed.txt:12
solutionis,1,donationis,3,3,False,0053.JPG.parsed.txt:14
Fusus,1,huius,3,2,False,0053.JPG.parsed.txt:15
fore,1,more,3,1,False,0053.JPG.parsed.txt:15
citati,1,citatus,3,2,False,0053.JPG.parsed.txt:16
tens,1,tedy,3,2,False,0053.JPG.parsed.txt:19
citationis,1,donationis,3,3,False,0053.JPG.parsed.txt:19
Lucie,1,Lucae,3,1,False,0053.JPG.parsed.txt:24
Ciuem,1,Civem,3,1,False,0053.JPG.parsed.txt:28
annua,1,Anna,3,1,False,0053.JPG.parsed.txt:29
prouenientibus,1,praesentibus,3,4,False,0053.JPG.parsed.txt:30
ferri,1,veri,3,2,False,0053.JPG.parsed.txt:33
Fauto,1,facto,3,1,False,0053.JPG.parsed.txt:36
